Citation,Scientific_Name,Host_Species,Host_Family,Host_Family_Simplified,Host_Order,WNV_Strain,Virus_Isolate_Date,Isolate_Location,Isolate_Lineage,Virus_Lineage,Virus_Dose,Dose_Method,Host_Isolate_Date,Host_Isolate_Location,Sample_Size_Original,Sample_Size_Death,Day,Titer,Titer_SD,Titer_SE,Survival,Alive,Potential_Error,Variance
Komar et al. 2003,Fulica_americana,American coot,Rallidae,Other,Gruiformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,1,1,1,1.7,0.566620931,0.290181523,1,1,N,Y
Komar et al. 2003,Fulica_americana,American coot,Rallidae,Other,Gruiformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,1,1,2,3.4,0.566620931,0.290181523,1,1,N,Y
Komar et al. 2003,Fulica_americana,American coot,Rallidae,Other,Gruiformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,1,1,3,4.5,0.566620931,0.290181523,1,1,N,Y
Komar et al. 2003,Fulica_americana,American coot,Rallidae,Other,Gruiformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,1,1,4,4.6,0.566620931,0.290181523,1,1,N,Y
Komar et al. 2003,Fulica_americana,American coot,Rallidae,Other,Gruiformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,1,1,5,2.8,0.566620931,0.290181523,1,1,N,Y
Komar et al. 2003,Fulica_americana,American coot,Rallidae,Other,Gruiformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,1,1,6,0.85,,,1,1,N,Y
Komar et al. 2003,Fulica_americana,American coot,Rallidae,Other,Gruiformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,1,1,7,0.85,,,1,1,N,Y
Komar et al. 2003,Fulica_americana,American coot,Rallidae,Other,Gruiformes,NY99,1999,New York,1a1,B,10000,needle,2000,New York,1,1,8,,,,1,1,N,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,1999,New York,1a1,B,42000,needle,2002,Kansas,8,8,1,1.787,0,0,1,8,Y,Y
Brault et al. 2004,Corvus_brachyrhynchos,American crow,Corvidae,Corvidae,Passeriformes,NY99,1999,New York,1a1,B,42000,needle,2002,Kansas,8,8,2,5.84,1.093,0.386433856,1,8,Y,Y
