,Common_Name,SCIENTIFIC.NAME,phylo_name,Detection_Distance,Citation
1,Gyrfalcon,Falco rusticolus,Falco_rusticolus,300,Blancher et al 2003
2,Flammulated Owl,Otus flammeolus,Otus_flammeolus,125,Blancher et al 2003
3,Long-eared Owl,Asio otus,Asio_otus,125,Blancher et al 2003
4,Northern Wheatear,Oenanthe oenanthe,Oenanthe_oenanthe,200,Blancher et al 2003
5,Mexican Whip-poor-will,Antrostomus arizonae,Caprimulgus_vociferus,300,Blancher et al 2003
6,Harris's Hawk,Parabuteo unicinctus,Parabuteo_unicinctus,300,Blancher et al 2003
7,Northern Pygmy-Owl,Glaucidium gnoma,Glaucidium_gnoma,200,Blancher et al 2003
8,Northern Hawk Owl,Surnia ulula,Surnia_ulula,200,Blancher et al 2003
9,Bendire's Thrasher,Toxostoma bendirei,Toxostoma_bendirei,200,Blancher et al 2003
10,Le Conte's Thrasher,Toxostoma lecontei,Toxostoma_lecontei,200,Blancher et al 2003
11,Lewis's Woodpecker,Melanerpes lewis,Melanerpes_lewis,200,Blancher et al 2003
12,Black Swift,Cypseloides niger,Cypseloides_niger,200,Blancher et al 2003
13,Elf Owl,Micrathene whitneyi,Micrathene_whitneyi,125,Blancher et al 2003
14,Prairie Falcon,Falco mexicanus,Falco_mexicanus,300,Blancher et al 2003
15,Ferruginous Hawk,Buteo regalis,Buteo_regalis,300,Blancher et al 2003
16,Bridled Titmouse,Baeolophus wollweberi,Baeolophus_wollweberi,200,Blancher et al 2003
17,Golden Eagle,Aquila chrysaetos,Aquila_chrysaetos,400,Blancher et al 2003
18,Crissal Thrasher,Toxostoma crissale,Toxostoma_crissale,200,Blancher et al 2003
19,Great Gray Owl,Strix nebulosa,Strix_nebulosa,200,Blancher et al 2003
20,Swainson's Warbler,Limnothlypis swainsonii,Limnothlypis_swainsonii,200,Blancher et al 2003
21,Long-billed Thrasher,Toxostoma longirostre,Toxostoma_longirostre,200,Blancher et al 2003
22,Black-whiskered Vireo,Vireo altiloquus,Vireo_altiloquus,125,Blancher et al 2003
23,White-headed Woodpecker,Picoides albolarvatus,Picoides_albolarvatus,125,Blancher et al 2003
24,Barn Owl,Tyto alba,Tyto_alba,200,Blancher et al 2003
25,Seaside Sparrow,Ammodramus maritimus,Ammodramus_maritimus,125,Blancher et al 2003
26,Black-chinned Sparrow,Spizella atrogularis,Spizella_atrogularis,200,Blancher et al 2003
27,American Dipper,Cinclus mexicanus,Cinclus_mexicanus,125,Blancher et al 2003
28,Juniper Titmouse,Baeolophus ridgwayi,Baeolophus_ridgwayi,200,Blancher et al 2003
29,Bachman's Sparrow,Peucaea aestivalis,Aimophila_aestivalis,200,Blancher et al 2003
30,Northern Goshawk,Accipiter gentilis,Accipiter_gentilis,125,Blancher et al 2003
31,California Thrasher,Toxostoma redivivum,Toxostoma_redivivum,200,Blancher et al 2003
32,Clark's Nutcracker,Nucifraga columbiana,Nucifraga_columbiana,300,Blancher et al 2003
