Source	Location	Species	Scientific_Name	Vector_Species	Proportion	Bites	Ebird_Prior	
Hamer et al. 2009	"Cook, IL"	Copper's hawk	Accipiter_cooperii	culex_pipiens	0	1	8	
Hamer et al. 2009	"Cook, IL"	Red-winged blackbird	Agelaius_phoeniceus	culex_pipiens	0.0454	2	151	
Hamer et al. 2009	"Cook, IL"	Mallard	Anas_platyrhynchos	culex_pipiens	0.0091	0	65	
Hamer et al. 2009	"Cook, IL"	Cedar waxwing	Bombycilla_cedrorum	culex_pipiens	0.0062	2	47	
Hamer et al. 2009	"Cook, IL"	Northern cardinal	Cardinalis_cardinalis	culex_pipiens	0.0144	43	45	
Hamer et al. 2009	"Cook, IL"	House finch	Carpodacus_mexicanus	culex_pipiens	0.011	34	1	
Hamer et al. 2009	"Cook, IL"	Veery	Catharus_fuscescens	culex_pipiens	0.0006	1	4	
Hamer et al. 2009	"Cook, IL"	Swainson's thrush	Catharus_ustulatus	culex_pipiens	0	2	14	
Hamer et al. 2009	"Cook, IL"	Killdeer	Charadrius_vociferus	culex_pipiens	0.000414903	0	2	
Hamer et al. 2009	"Cook, IL"	Northern flicker	Colaptes_auratus	culex_pipiens	0.0003	1	16	
Hamer et al. 2009	"Cook, IL"	Rock pigeon	Columba_livia	culex_pipiens	0.0095	1	2	
Hamer et al. 2009	"Cook, IL"	Eastern wood-pewee	Contopus_virens	culex_pipiens	0.000727246	0	6	
Hamer et al. 2009	"Cook, IL"	American crow	Corvus_brachyrhynchos	culex_pipiens	0.003596	0	9	
Hamer et al. 2009	"Cook, IL"	Blue jay	Cyanocitta_cristata	culex_pipiens	0.003	14	19	
Hamer et al. 2009	"Cook, IL"	Gray catbird	Dumetella_carolinensis	culex_pipiens	0.0047	2	45	
Hamer et al. 2009	"Cook, IL"	Willow flycatcher	Empidonax_traillii	culex_pipiens	0.000270816	0	30	
Hamer et al. 2009	"Cook, IL"	American kestrel	Falco_sparverius	culex_pipiens	0	3	5	
Hamer et al. 2009	"Cook, IL"	Common yellowthroat	Geothlypis_trichas	culex_pipiens	0.000279388	0	6	
Hamer et al. 2009	"Cook, IL"	Barn swallow	Hirundo_rustica	culex_pipiens	0.001000901	0	75	
Hamer et al. 2009	"Cook, IL"	Baltimore oriole	Icterus_galbula	culex_pipiens	0.001733703	0	17	
Hamer et al. 2009	"Cook, IL"	Song sparrow	Melospiza_melodia	culex_pipiens	0.0017	2	67	
Hamer et al. 2009	"Cook, IL"	Brown-headed cowbird	Molothrus_ater	culex_pipiens	0.0028	0	27	
Hamer et al. 2009	"Cook, IL"	Great-crested flycatcher	Myiarchus_crinitus	culex_pipiens	0.000533447	0	11	
Hamer et al. 2009	"Cook, IL"	Monk parakeet	Myiopsitta_monachus	culex_pipiens	0.01765	0	1	actuall 0 seen in ebird dat
Hamer et al. 2009	"Cook, IL"	House sparrow	Passer_domesticus	culex_pipiens	0.44	76	33	
Hamer et al. 2009	"Cook, IL"	Indigo bunting	Passerina_cyanea	culex_pipiens	0.000628397	0	33	
Hamer et al. 2009	"Cook, IL"	Ring-necked pheasant	Phasianus_colchicus	culex_pipiens	7.71E-05	0	1	actuall 0 seen in ebird dat
Hamer et al. 2009	"Cook, IL"	Downy woodpecker	Picoides_pubescens	culex_pipiens	0.003663675	0	8	
Hamer et al. 2009	"Cook, IL"	Hariy woodpecker	Picoides_villosus	culex_pipiens	0.000149826	0	1	
Hamer et al. 2009	"Cook, IL"	Eastern towhee	Pipilo_erythrophthalmus	culex_pipiens	0.0002	0	10	
Hamer et al. 2009	"Cook, IL"	Scarlet tanager	Piranga_olivacea	culex_pipiens	0.0002	3	1	actuall 0 seen in ebird dat
Hamer et al. 2009	"Cook, IL"	Black-capped chickadee	Parus_atricapillus	culex_pipiens	0.002	2	4	
Hamer et al. 2009	"Cook, IL"	Blue-gray gnatcatcher	Polioptila_caerulea	culex_pipiens	0.001072789	0	1	actuall 0 seen in ebird dat
Hamer et al. 2009	"Cook, IL"	Common grackle	Quiscalus_quiscula	culex_pipiens	0.0576	2	78	
Hamer et al. 2009	"Cook, IL"	Common canary	Serinus_canaria	culex_pipiens	0	1	1	actuall 0 seen in ebird dat
Hamer et al. 2009	"Cook, IL"	Yellow warbler	Dendroica_petechia	culex_pipiens	0.000855395	0	34	
Hamer et al. 2009	"Cook, IL"	Eastern bluebird	Sialia_sialis	culex_pipiens	0.0002	0	9	
Hamer et al. 2009	"Cook, IL"	White-breasted nuthatch	Sitta_carolinensis	culex_pipiens	0.000590197	0	3	
Hamer et al. 2009	"Cook, IL"	American goldfinch	Carduelis_tristis	culex_pipiens	0.0214	1	79	
Hamer et al. 2009	"Cook, IL"	Chipping sparrow	Spizella_passerina	culex_pipiens	0.008	2	8	
Hamer et al. 2009	"Cook, IL"	Eurasian collared-dove	Streptopelia_decaocto	culex_pipiens	0.00041758	0	1	
Hamer et al. 2009	"Cook, IL"	European starling	Sturnus_vulgaris	culex_pipiens	0.0567	12	123	
Hamer et al. 2009	"Cook, IL"	Brown thrasher	Toxostoma_rufum	culex_pipiens	0	1	16	actuall 0 seen in ebird dat
Hamer et al. 2009	"Cook, IL"	House wren	Troglodytes_aedon	culex_pipiens	0.003	3	20	
Hamer et al. 2009	"Cook, IL"	American robin	Turdus_migratorius	culex_pipiens	0.2026	249	85	
Hamer et al. 2009	"Cook, IL"	Eastern kingbird	Tyrannus_tyrannus	culex_pipiens	0.000480631	0	21	
Hamer et al. 2009	"Cook, IL"	Warbling vireo	Vireo_gilvus	culex_pipiens	0.000548516	0	15	
Hamer et al. 2009	"Cook, IL"	Red-eyed vireo	Vireo_olivaceus	culex_pipiens	0.000779818	0	15	
Hamer et al. 2009	"Cook, IL"	Mourning dove	Zenaida_macroura	culex_pipiens	0.065	55	33	
Hamer et al. 2009	"Cook, IL"		Actitis_macularius	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Aix_sponsa	culex_pipiens	0	0	20	
Hamer et al. 2009	"Cook, IL"		Ammodramus_henslowii	culex_pipiens	0	0	3	
Hamer et al. 2009	"Cook, IL"		Ammodramus_savannarum	culex_pipiens	0	0	4	
Hamer et al. 2009	"Cook, IL"		Anthus_rubescens	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Archilochus_colubris	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Casmerodius_albus	culex_pipiens	0	0	11	
Hamer et al. 2009	"Cook, IL"		Ardea_herodias	culex_pipiens	0	0	26	
Hamer et al. 2009	"Cook, IL"		Aythya_affinis	culex_pipiens	0	0	2	
Hamer et al. 2009	"Cook, IL"		Baeolophus_bicolor	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Branta_canadensis	culex_pipiens	0	0	77	
Hamer et al. 2009	"Cook, IL"		Bubo_virginianus	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Buteo_jamaicensis	culex_pipiens	0	0	8	
Hamer et al. 2009	"Cook, IL"		Buteo_lineatus	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Buteo_platypterus	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Butorides_virescens	culex_pipiens	0	0	4	
Hamer et al. 2009	"Cook, IL"		Calidris_alpina	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Calidris_minutilla	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Wilsonia_canadensis	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Wilsonia_pusilla	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Cathartes_aura	culex_pipiens	0	0	9	
Hamer et al. 2009	"Cook, IL"		Catharus_guttatus	culex_pipiens	0	0	2	
Hamer et al. 2009	"Cook, IL"		Catharus_minimus	culex_pipiens	0	0	16	
Hamer et al. 2009	"Cook, IL"		Chaetura_pelagica	culex_pipiens	0	0	83	
Hamer et al. 2009	"Cook, IL"		Chlidonias_niger	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Chordeiles_minor	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Coccyzus_americanus	culex_pipiens	0	0	2	
Hamer et al. 2009	"Cook, IL"		Coccyzus_erythropthalmus	culex_pipiens	0	0	4	
Hamer et al. 2009	"Cook, IL"		Contopus_cooperi	culex_pipiens	0	0	2	
Hamer et al. 2009	"Cook, IL"		Cygnus_olor	culex_pipiens	0	0	6	
Hamer et al. 2009	"Cook, IL"		Dolichonyx_oryzivorus	culex_pipiens	0	0	8	
Hamer et al. 2009	"Cook, IL"		Empidonax_flaviventris	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Empidonax_minimus	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Euphagus_carolinus	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Falco_peregrinus	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Oporornis_philadelphia	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Haliaeetus_leucocephalus	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Sterna_caspia	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Hylocichla_mustelina	culex_pipiens	0	0	4	
Hamer et al. 2009	"Cook, IL"		Icteria_virens	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Icterus_spurius	culex_pipiens	0	0	11	
Hamer et al. 2009	"Cook, IL"		Junco_hyemalis	culex_pipiens	0	0	7	
Hamer et al. 2009	"Cook, IL"		Larus_argentatus	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Larus_delawarensis	culex_pipiens	0	0	52	
Hamer et al. 2009	"Cook, IL"		Lophodytes_cucullatus	culex_pipiens	0	0	2	
Hamer et al. 2009	"Cook, IL"		Megaceryle_alcyon	culex_pipiens	0	0	2	
Hamer et al. 2009	"Cook, IL"		Megascops_asio	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Melanerpes_carolinus	culex_pipiens	0	0	4	
Hamer et al. 2009	"Cook, IL"		Melanerpes_erythrocephalus	culex_pipiens	0	0	5	
Hamer et al. 2009	"Cook, IL"		Melospiza_lincolnii	culex_pipiens	0	0	2	
Hamer et al. 2009	"Cook, IL"		Mergus_merganser	culex_pipiens	0	0	2	
Hamer et al. 2009	"Cook, IL"		Mniotilta_varia	culex_pipiens	0	0	2	
Hamer et al. 2009	"Cook, IL"		Nycticorax_nycticorax	culex_pipiens	0	0	5	
Hamer et al. 2009	"Cook, IL"		Oporornis_agilis	culex_pipiens	0	0	3	
Hamer et al. 2009	"Cook, IL"		Vermivora_celata	culex_pipiens	0	0	2	
Hamer et al. 2009	"Cook, IL"		Vermivora_peregrina	culex_pipiens	0	0	4	
Hamer et al. 2009	"Cook, IL"		Vermivora_ruficapilla	culex_pipiens	0	0	15	
Hamer et al. 2009	"Cook, IL"		Oxyura_jamaicensis	culex_pipiens	0	0	19	
Hamer et al. 2009	"Cook, IL"		Pandion_haliaetus	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Passerculus_sandwichensis	culex_pipiens	0	0	5	
Hamer et al. 2009	"Cook, IL"		Petrochelidon_pyrrhonota	culex_pipiens	0	0	1	
Hamer et al. 2009	"Cook, IL"		Phalacrocorax_auritus	culex_pipiens	0	0	50	
Hamer et al. 2009	"Cook, IL"		Pheucticus_ludovicianus	culex_pipiens	0	0	10	
Hamer et al. 2009	"Cook, IL"		Podilymbus_podiceps	culex_pipiens	0	0	3	
Hamer et al. 2009	"Cook, IL"		Progne_subis	culex_pipiens	0	0	1	
