Citation,Vector_Species,Mosquito_Origin,Sample_Size,Temperature,Longevity_Days,Survival,Surviving_Count
Ciota et al 2014,Culex pipiens,Field,,16,78,,
Ciota et al 2014,Culex pipiens,Field,,16,87,,
Ciota et al 2014,Culex pipiens,Field,,20,69,,
Ciota et al 2014,Culex pipiens,Field,,20,112,,
Ciota et al 2014,Culex pipiens,Field,,24,32,,
Ciota et al 2014,Culex pipiens,Field,,24,44,,
Ciota et al 2014,Culex pipiens,Field,,28,20,,
Ciota et al 2014,Culex pipiens,Field,,28,35,,
Ciota et al 2014,Culex pipiens,Field,,32,24,,
Ciota et al 2014,Culex pipiens,Cultivar,,16,72,,
Ciota et al 2014,Culex pipiens,Cultivar,,20,27,,
Ciota et al 2014,Culex pipiens,Cultivar,,28,7,,
Ciota et al 2014,Culex pipiens,Cultivar,,32,4,,
Ciota et al 2014,Culex pipiens,Cultivar,,32,11,,
Ciota et al 2014,Culex quinquefasciatus,Field,,16,94,,
Ciota et al 2014,Culex quinquefasciatus,Field,,20,80,,
Ciota et al 2014,Culex quinquefasciatus,Field,,24,44,,
Ciota et al 2014,Culex quinquefasciatus,Cultivar,,16,57,,
Ciota et al 2014,Culex quinquefasciatus,Cultivar,,20,61,,
Ciota et al 2014,Culex quinquefasciatus,Cultivar,,24,29,,
Ciota et al 2014,Culex quinquefasciatus,Cultivar,,28,24,,
Ciota et al 2014,Culex quinquefasciatus,Cultivar,,32,8,,
Ciota et al 2014,Culex restuans,Field,,16,76,,
Ciota et al 2014,Culex restuans,Field,,20,44,,
Ciota et al 2014,Culex restuans,Field,,24,17,,
Ciota et al 2014,Culex restuans,Field,,28,11,,
Ciota et al 2014,Culex restuans,Field,,32,6,,
Andreadis et al 2014,Culex pipiens,Field,180,15,0,1,180
Andreadis et al 2014,Culex pipiens,Field,180,15,42,1,180
Andreadis et al 2014,Culex pipiens,Field,180,15,43,0.78,140
Andreadis et al 2014,Culex pipiens,Field,180,15,65,0.78,140
Andreadis et al 2014,Culex pipiens,Field,180,15,66,0.665,120
Andreadis et al 2014,Culex pipiens,Field,180,15,95,0.665,120
Andreadis et al 2014,Culex pipiens,Field,180,15,96,0.558,100
Andreadis et al 2014,Culex pipiens,Field,180,15,106,0.558,100
Andreadis et al 2014,Culex pipiens,Field,180,15,107,0.447,80
