Species,Scientific Name, Common Name,Sex,N,Mean,S.D.,Min,Max, Season,Location ,Source #
Coragyps atratus atratus,Coragyps atratus,Black Vulture,U,50,2159,130,,,,"Texas, USA",148
Coragyps atratus brasiliensis,Coragyps atratus,Black Vulture,U,119,1640,100,,,,Venezuela,148
Cathartes aura septentrionalis,Cathartes aura,Turkey Vulture,U,124,2006, ,,,M,"southern Florida, USA",635
Cathartes aura meridionalis,Cathartes aura,Turkey Vulture,U,130,1430,228,,,W,Venezuela,634
Cathartes aura ruficollis,Cathartes aura,Turkey Vulture,U,65,1220,80.6,,,,Venezuela,634
Cathartes burrovianus,Cathartes burrovianus,Lesser Yellow-headed Vulture,B,11,935,,820,1272,,Mexico; Suriname; Brazil,"75, 498, 1202"
Cathartes melambrotus,Cathartes melambrotus,Greater Yellow-headed Vulture,B,8,1373,,1130,1500,,"Ecuador, Suriname","498, 747"
Gymnogyps californianus,Gymnogyps californianus,California Condor,M,13,8800,,7900,9900,,captive,1134
Gymnogyps californianus,Gymnogyps californianus,California Condor,F,15,8100,,7000,8900,,,
Vultur gryphus,Vultur gryphus,Andean Condor,M,,12500,,10900,13600,,,1269
Vultur gryphus,Vultur gryphus,Andean Condor,F,,10100,,9600,11400,,,
Sarcoramphus papa,Sarcoramphus papa,King Vulture,B,,3400,,3100,3700,,,1269
Pandion haliaetus,Pandion haliaetus,Osprey,M,10,1403,,1220,1600,,,138
Pandion haliaetus,Pandion haliaetus,Osprey,F,14,1568,,1250,1900,,,
Aviceda cuculoides,Aviceda cuculoides,African Cuckoo-Hawk,B,8,277,,247,302,,Ivory Coast,1213
Aviceda jerdoni,Aviceda jerdoni,Jerdon's Baza,M,1,363,,,,,Philippines,954
Aviceda subcristata,Aviceda subcristata,Pacific Baza,M,10,307,34.5,259,357,,Australia,745
Aviceda subcristata,Aviceda subcristata,Pacific Baza,F,9,347,,290,448,,,
Aviceda subcristata gurneyi,Aviceda subcristata,Pacific Baza,M,4,314,,285,356,,Solomon Islands,658
Aviceda subcristata gurneyi,Aviceda subcristata,Pacific Baza,F,2,324,,319,330,,,
Aviceda leuphotes,Aviceda leuphotes,Black Baza,B,,,,168,224,,,358
Leptodon cayanensis,Leptodon cayanensis,Gray-headed Kite,B,15,474,,414,643,,,"359, 489, 498, 613, 1027, 1219"
Leptodon forbesi,Leptodon forbesi,White-collared Kite,B,3,577,,550,600,,northeast Brazil,1203
Chondrohierax uncinatus,Chondrohierax uncinatus,Hook-billed Kite,M,6,264,,,,,Panama; Venezuela; Mexico,"296, 489, 640"
Chondrohierax uncinatus,Chondrohierax uncinatus,Hook-billed Kite,F,4,310,,,,,,
Henicopernis longicauda,Henicopernis longicauda,Long-tailed Honey-Buzzard,M,1,447,,,,,,138
Henicopernis longicauda,Henicopernis longicauda,Long-tailed Honey-Buzzard,F,1,730,,,,,,
Pernis apivorus,Pernis apivorus,European Honey-Buzzard,M,10,684,,510,800,,,138
Pernis apivorus,Pernis apivorus,European Honey-Buzzard,F,8,832,,625,1050,,,
Pernis celebensis,Pernis celebensis,Barred Honey-Buzzard,B,2,722,,692,752,,Philippines,954
Pernis ptilorhynchus,Pernis ptilorhynchus,Oriental Honey-Buzzard,M,4,1069,,986,1150,,"Hopei, China; Thailand","1087, 1287"
Pernis ptilorhynchus,Pernis ptilorhynchus,Oriental Honey-Buzzard,F,5,1304,,950,1480,,,
Pernis ptilorhynchus,Pernis ptilorhynchus,Oriental Honey-Buzzard,U,9,1066,,750,1490,,Kazakhstan,273
Lophoictinia isura,Lophoictinia isura,Square-tailed Kite,M,1,501,,,,,Australia,"524, 746"
Lophoictinia isura,Lophoictinia isura,Square-tailed Kite,F,3,670,,660,680,,,
Hamirostra melanosternon,Hamirostra melanosternon,Black-breasted Kite,M,2,1196,,1150,1242,,Australia ,746
Elanoides forficatus ,Elanoides forficatus,Swallow-tailed Kite,B,14,442,,372,510,,,894
Elanoides forficatus ,Elanoides forficatus,Swallow-tailed Kite,B ,11,392,,354,435,,Suriname,498
Macheiramphus alcinus,Macheiramphus alcinus,Bat Hawk,U,1,650,,,,,,139
Gampsonyx swainsonii,Gampsonyx swainsonii,Pearl Kite,U,4,92.9,,80.5,104,,,"359, 498, 1215"
Elanus caeruleus,Elanus caeruleus,Black-shouldered Kite,M, ,241, ,222,252,,Ivory Coast,1213
Elanus caeruleus,Elanus caeruleus,Black-shouldered Kite,F, ,280, ,264,290,,,
Elanus axillaris ,Elanus axillaris,Australian Kite,M,11,249,39,181,295,,Australia,746
Elanus axillaris ,Elanus axillaris,Australian Kite,F,5,293,,270,340,,,
Elanus leucurus,Elanus leucurus,White-tailed Kite,B,33,346,23.3, , ,,"California, USA",312
Elanus scriptus,Elanus scriptus,Letter-winged Kite,U,45,316,67.4,160,420,,Australia,746
Chelictinia riocourii,Chelictinia riocourii,Scissor-tailed Kite,U,1,110,,,,,"labeled as ""fat""",358
Rostrhamus sociabilis plumbeus,Rostrhamus sociabilis,Snail Kite,M,28,394,22.8,360,440,,"Florida, USA",1194
Rostrhamus sociabilis plumbeus,Rostrhamus sociabilis,Snail Kite,F,29,446,47.8,350,570,,,
Rostrhamus sociabilis sociabilis,Rostrhamus sociabilis,Snail Kite,M,7,308,,225,383,,,1194
Rostrhamus sociabilis sociabilis,Rostrhamus sociabilis,Snail Kite,F,6,335,,268,416,,,
Rostrhamus hamatus,Rostrhamus hamatus,Slender-billed Kite,M,10,420,,377,448,,Suriname,498
Rostrhamus hamatus,Rostrhamus hamatus,Slender-billed Kite,F,13,431,,367,485,,,
Harpagus bidentatus,Harpagus bidentatus,Double-toothed Kite,M,6,181,,165,210,,Costa Rica; Panama; Peru; Belize,"370, 379, 489, 1027"
Harpagus bidentatus,Harpagus bidentatus,Double-toothed Kite,F,2,256,,206,305,,,
Harpagus diodon,Harpagus diodon,Rufous-thighed Kite,F,1,200,,,,,Bolivia,1143
Ictinia mississippiensis,Ictinia mississippiensis,Mississippi Kite,M,11,245,,216,269,B,"Oklahoma, USA",894
Ictinia mississippiensis,Ictinia mississippiensis,Mississippi Kite,F,5,311,,278,339,,,
Ictinia plumbea,Ictinia plumbea,Plumbeous Kite,M,16,243,,190,297,,Suriname,498
Ictinia plumbea,Ictinia plumbea,Plumbeous Kite,F,7,257,,232,294,,,
Milvus milvus,Milvus milvus,Red Kite ,M,10,947,,802,1052,Sp,,223
Milvus milvus,Milvus milvus,Red Kite ,F,4,1213,,1140,1298,,,
Milvus migrans,Milvus migrans,Black Kite,B,96,567,83.8,360,775,,"Northern Terr., Australia",746
Milvus migrans lineatus,Milvus migrans,Black Kite,M,4,870,,800,920,,China,"925, 1087"
Milvus migrans lineatus,Milvus migrans,Black Kite,F,6,802,,680,920,,,
Haliastur sphenurus,Haliastur sphenurus,Whistling Kite,U,452,753,94.9,480,1050,,"Northern Terr., Australia",746
Haliastur indus,Haliastur indus,Brahminy Kite,B,17,529,,434,673,,,"292, 658, 746, 954"
Haliaeetus leucogaster,Haliaeetus leucogaster,White-bellied Sea-Eagle,M,10,2400,220,2120,2900,,Australia; Papua New Guinea,746
Haliaeetus leucogaster,Haliaeetus leucogaster,White-bellied Sea-Eagle,F,12,3330,290,3000,3900,,,
Haliaeetus sanfordi,Haliaeetus sanfordi,Solomon Sea-Eagle,M,1,1980,, , ,,male is subadult,"138, 658"
Haliaeetus sanfordi,Haliaeetus sanfordi,Solomon Sea-Eagle,F,3,,,2300,2500,,,
Haliaeetus vocifer,Haliaeetus vocifer,African Fish-Eagle,M,3,,,1928,2497,,,223
Haliaeetus vocifer,Haliaeetus vocifer,African Fish-Eagle,F,2,3400,,3170,3630,,,
